n,K_true,separation,event_rate,n_reps,n_events_mean,event_rate_mean,K_sel_accuracy,K_sel_mean,K_over_rate,K_under_rate,ARI_n_defined,ARI_mean,ARI_sd,beta_rmse_mean,cindex_full_mean,cindex_cv_mean,cindex_cox1_mean,cindex_gain_mean,gamma_mean,converge_rate
500,2,low,0.25,50,126,0.252,0.08,1.08,0,0.92,4,0.06,0.036,0.301,0.703,0.689,0.71,-0.007,0.26,1
500,2,low,0.44,50,219.8,0.44,0.04,1.04,0,0.96,2,0.092,0.046,0.183,0.7,0.687,0.716,-0.015,0.15,1
500,2,med,0.25,50,126.9,0.254,0.28,1.28,0,0.72,14,0.293,0.028,0.273,0.724,0.696,0.705,0.019,0.33,1
500,2,med,0.44,50,219,0.438,0.22,1.22,0,0.78,11,0.302,0.053,0.287,0.708,0.696,0.718,-0.01,0.18,1
500,3,high,0.25,50,123.6,0.247,0.02,2.02,0,0.98,1,0.341,NA,0.444,0.802,0.784,0.573,0.229,0.23,1
500,3,high,0.44,50,220.4,0.441,0,2,0,1,0,NA,NA,NA,0.808,0.795,0.567,0.242,0.12,1
500,3,low,0.25,50,124.7,0.249,0.04,1.28,0,0.96,2,0.102,0.01,0.308,0.714,0.691,0.724,-0.01,0.23,1
500,3,low,0.44,50,221.7,0.443,0,1.08,0,1,0,NA,NA,NA,0.695,0.681,0.708,-0.013,0.25,1
500,3,med,0.25,50,127.3,0.255,0.02,1.94,0,0.98,1,0.306,NA,0.335,0.788,0.76,0.685,0.103,0.25,1
500,3,med,0.44,50,221.4,0.443,0,1.96,0,1,0,NA,NA,NA,0.754,0.738,0.688,0.066,0.16,1
